frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.151,9.752,3.500,1.44275,11.31298,0.84733
1,0.033,0.244,10.155,3.497,4.19752,8.61466,1.03714
2,0.067,0.111,9.545,3.279,4.40970,5.02935,2.54309
3,0.100,0.082,9.439,3.579,3.27881,1.83580,3.54688
4,0.133,0.056,9.505,3.569,4.62459,0.04363,2.68387
5,0.167,0.029,9.340,3.642,4.45391,-0.43487,2.22560
6,0.200,0.102,9.427,3.587,5.73242,-0.35061,2.41698
7,0.233,0.060,9.382,3.661,5.15651,-0.65870,2.14183
8,0.267,-0.084,9.354,3.459,1.34228,0.26976,1.88375
9,0.300,-0.213,9.773,3.635,3.87971,0.84033,0.14992
10,0.333,-0.158,9.501,3.496,2.84653,3.20525,-0.96150
11,0.367,-0.039,9.223,3.163,-1.15373,1.09056,-0.07455
12,0.400,-0.095,9.334,3.138,-0.68127,-1.20914,-3.64949
13,0.433,-0.327,9.359,3.306,0.98957,-3.98608,-7.09734
14,0.467,-0.206,9.294,3.410,-0.35138,-4.93494,-8.51372
15,0.500,-0.640,9.484,3.174,-2.43173,-2.06642,-11.03884
16,0.533,-1.068,9.455,3.001,0.85688,0.90989,-7.34917
17,0.567,-0.139,9.315,3.162,-1.55865,0.81640,-6.11976
18,0.600,-0.006,9.283,2.957,-7.18246,-5.77907,-7.83024
19,0.633,-0.082,9.231,2.701,-11.72817,-5.82006,-8.62104
20,0.667,-0.135,9.560,2.917,-12.21019,-0.43712,-8.52897
21,0.700,0.120,10.021,3.325,-0.75598,3.93180,-5.41594
22,0.733,0.569,9.492,3.535,6.81177,4.27520,-6.15425
23,0.767,0.732,10.141,4.274,7.98950,5.09710,-7.12182
24,0.800,0.980,11.807,5.489,11.89053,5.68548,-8.37335
25,0.833,0.896,11.285,5.777,28.39248,10.63813,-14.06868
26,0.867,1.477,9.447,5.086,42.62455,3.71342,-6.87455
27,0.900,1.763,9.953,2.179,40.84203,-1.68870,6.38335
28,0.933,2.156,7.729,0.483,45.61081,-21.21378,16.87662
29,0.967,1.964,6.400,0.134,23.28035,-39.03043,19.44515
30,1.000,2.397,7.597,2.385,-22.28221,-23.21232,10.74498
31,1.033,-2.692,13.017,5.450,-31.11684,0.23652,-12.60292
32,1.067,-4.003,11.031,1.611,-21.34869,17.03945,4.97556
33,1.100,-1.660,8.879,3.414,-19.20394,41.48142,14.52968
34,1.133,0.231,8.971,5.486,-15.49289,-6.93352,22.38059
35,1.167,1.115,9.707,5.939,-12.23392,-12.78145,10.67249
36,1.200,-0.181,8.255,6.464,-0.34964,-17.45399,4.29879
37,1.233,-1.549,9.462,5.940,-10.19183,-5.76473,3.43348
38,1.267,-2.566,10.432,5.051,1.32916,0.21469,7.23919
39,1.300,-1.367,9.164,4.893,12.07159,2.24278,-0.04104
40,1.333,-1.301,8.068,3.131,47.54608,-0.80418,-3.39671
41,1.367,-2.958,8.087,1.221,32.64285,4.32192,-11.00009
42,1.400,-2.613,6.703,0.228,20.02116,35.13578,-23.07194
43,1.433,-3.181,6.667,1.358,-17.04988,57.54775,-28.51523
44,1.467,2.019,13.217,6.961,-31.93791,66.74435,1.50335
45,1.500,5.128,14.141,1.720,1.39630,-32.21543,8.92818
46,1.533,1.084,11.395,0.099,-3.43347,-30.13133,-17.84286
47,1.567,-1.151,8.280,4.550,-29.90611,-7.19086,-28.05328
48,1.600,-0.273,9.483,3.722,-10.62507,-21.14609,-9.43550
49,1.633,-0.082,7.437,5.272,22.89722,8.49909,-5.77665
50,1.667,0.343,8.389,6.194,7.01016,10.47959,-0.44274
51,1.700,1.523,10.457,6.037,11.10899,8.91243,7.29508
52,1.733,1.014,9.438,6.221,12.62786,11.49380,0.05130
53,1.767,-0.403,8.782,5.305,13.19161,20.15695,-0.87837
54,1.800,1.113,9.448,3.188,20.82748,16.10678,7.64362
55,1.833,3.190,8.772,1.339,13.70558,-15.77550,17.25895
56,1.867,4.719,6.512,-0.354,0.66699,-46.68989,21.75293
57,1.900,2.268,7.407,0.921,-23.75362,-54.98935,27.91554
58,1.933,-1.600,11.935,7.028,-54.56091,-19.45383,7.00059
59,1.967,-4.749,12.842,3.729,-38.11364,-26.23850,-15.76206
60,2.000,-1.821,8.624,2.695,-29.92641,44.12230,1.31686
61,2.033,-0.385,8.432,6.378,-37.92441,14.50278,8.37105
62,2.067,-0.210,9.509,5.798,-4.22662,-21.50803,9.23026
63,2.100,-0.873,9.010,6.347,7.24261,-10.06265,3.48115
64,2.133,-0.357,8.180,6.621,4.28111,-17.70063,-0.11306
65,2.167,-0.823,7.789,5.868,8.09248,-24.57004,5.78791
66,2.200,-2.255,7.734,6.412,0.46619,-13.38810,0.96471
67,2.233,-2.063,8.161,2.905,13.23235,-3.41586,-5.40186
68,2.267,-2.799,9.090,1.752,31.52683,-0.59989,-14.52756
69,2.300,-2.667,6.691,0.562,18.04281,20.42701,-29.98503
70,2.333,-3.446,6.601,0.988,-15.49180,46.94712,-33.95172
71,2.367,-1.854,11.269,3.754,-51.38088,73.95730,-23.55072
72,2.400,5.643,16.156,5.029,-3.20581,-5.03833,13.99327
73,2.433,3.139,10.517,4.444,-7.78372,-39.49010,-5.10012
74,2.467,-0.885,9.201,6.563,-8.52398,-28.01561,-15.47705
75,2.500,0.459,8.189,5.463,-5.56771,-34.64854,-17.72624
