frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,-0.151,9.084,2.411,-3.19847,-5.00763,-1.66412
1,0.033,-0.381,9.548,2.182,-7.08950,-6.46335,-1.71952
2,0.067,-0.378,9.726,2.244,-7.93040,-7.14729,-1.70436
3,0.100,-0.404,9.797,2.183,-9.56805,-8.10261,-2.75610
4,0.133,-0.347,9.947,2.027,-7.15233,-8.37867,-2.88613
5,0.167,-0.390,10.087,2.049,-2.12115,-7.89456,-1.87915
6,0.200,-0.612,10.053,1.979,-0.74903,-6.28546,-1.22349
7,0.233,-0.650,9.784,2.153,0.77070,-3.09997,-1.33588
8,0.267,-0.491,9.546,2.255,1.18041,-1.93059,-1.21748
9,0.300,-0.472,9.597,2.149,-0.34833,-1.18351,-0.59633
10,0.333,-0.390,9.728,2.022,-0.25174,-1.02793,-0.56541
11,0.367,-0.532,9.784,2.237,-1.11680,0.39464,-1.67008
12,0.400,-0.526,9.468,2.465,-4.25945,3.41584,-2.52588
13,0.433,-0.294,10.020,2.094,-2.42753,-0.11958,0.29896
14,0.467,-0.685,10.406,1.655,5.67875,-0.21877,1.50453
15,0.500,-0.635,10.208,2.154,9.71351,1.70528,-0.23519
16,0.533,-0.401,9.628,2.306,5.23518,-3.96787,0.33470
17,0.567,-0.445,9.399,1.571,2.97342,-6.60951,1.54593
18,0.600,-0.207,9.239,1.522,2.74252,-7.30136,-2.29591
19,0.633,-0.408,9.542,1.572,1.16576,-9.69936,-5.37255
20,0.667,-0.141,9.907,1.537,-2.08945,-14.72342,-4.56273
21,0.700,-0.179,10.104,1.267,1.49946,-17.27807,-4.67228
22,0.733,-0.305,9.861,1.623,3.51547,-19.64399,-6.46898
23,0.767,-0.321,9.652,1.594,2.75583,-20.91318,-6.85291
24,0.800,-0.535,9.586,1.782,3.33863,-20.57435,-6.60708
25,0.833,-0.275,9.553,1.906,-0.96216,-18.40427,-8.00375
26,0.867,0.068,10.042,2.019,-2.83762,-13.84938,-14.53967
27,0.900,-0.041,10.429,2.534,3.29986,-6.08693,-20.96109
28,0.933,-1.152,10.408,2.941,12.89657,9.34466,-23.09785
29,0.967,-0.871,8.932,3.045,16.02666,18.44902,-12.25316
30,1.000,0.231,8.821,2.128,13.67812,15.39195,2.72569
31,1.033,1.448,11.499,1.233,15.22574,9.75488,5.76185
32,1.067,2.800,12.905,2.023,36.92953,10.04162,2.19535
33,1.100,0.420,9.950,2.754,43.70095,10.74127,2.57054
34,1.133,0.225,7.601,2.301,24.36415,13.36844,11.09696
35,1.167,0.865,8.028,0.944,13.87503,6.90744,23.68701
36,1.200,2.515,8.512,0.690,21.41008,-5.67923,39.79789
37,1.233,3.398,6.114,0.215,16.63934,-27.96447,52.46467
38,1.267,2.840,5.739,0.645,-4.50278,-61.35781,52.16001
39,1.300,0.666,12.201,5.770,-36.12722,-24.44917,13.93231
40,1.333,-15.112,19.560,5.399,-78.16688,5.42499,-10.71198
41,1.367,-1.526,9.354,1.173,56.01830,77.70342,40.43106
42,1.400,2.037,9.030,6.584,-33.40532,-12.76709,19.43498
43,1.433,-0.083,8.975,2.899,-6.09738,-16.39370,5.70042
44,1.467,-2.277,8.221,4.792,15.55547,-28.93572,13.49728
45,1.500,-2.690,7.051,3.008,-21.09027,-21.88645,-1.77016
46,1.533,-2.729,7.593,3.664,-7.94792,-5.62711,2.29623
47,1.567,-2.450,8.076,4.552,-4.67112,-9.64358,3.55955
48,1.600,-2.216,9.066,3.996,-16.19790,-4.30770,3.77055
49,1.633,-2.058,9.112,3.617,-14.33088,-4.69496,3.77364
50,1.667,-2.305,8.352,3.486,-12.87292,0.78821,-1.20872
51,1.700,-3.072,8.684,3.444,-17.94811,7.43923,2.73991
52,1.733,-2.866,8.888,3.058,-19.36302,13.10425,6.36718
53,1.767,-2.487,8.793,3.088,-21.12741,17.89712,6.06524
54,1.800,-2.322,8.827,2.666,-21.15162,23.21577,6.35916
55,1.833,-2.437,9.408,2.409,-18.36072,21.52279,8.50457
56,1.867,-2.365,8.995,2.266,-23.43398,22.73422,9.84733
57,1.900,-1.834,9.216,2.142,-27.45990,22.61468,9.36122
58,1.933,-1.775,9.334,2.205,-23.54889,15.92060,5.25639
59,1.967,-1.725,9.917,1.841,-20.06286,15.57060,2.74646
60,2.000,-1.431,9.540,1.840,-18.58787,14.61578,0.85701
61,2.033,-1.873,9.638,1.715,-16.10525,7.22934,-1.39745
62,2.067,-2.032,10.067,1.549,-9.95569,8.15391,0.47100
63,2.100,-1.892,9.817,1.767,-2.50290,4.06555,2.81390
64,2.133,-2.037,9.629,1.724,-0.87527,0.38348,3.38570
65,2.167,-1.907,9.595,1.554,6.46958,2.56350,1.75486
66,2.200,-2.060,9.688,1.787,5.62323,-0.57368,1.57107
67,2.233,-1.815,9.198,1.623,9.75781,-2.39240,-3.03421
68,2.267,-1.938,9.259,1.472,10.91722,-3.99099,-8.32332
69,2.300,-1.748,9.552,1.249,11.69537,-0.20925,-13.88903
70,2.333,-1.484,9.430,1.095,16.27246,-5.53351,-16.20386
71,2.367,-2.041,10.089,1.195,18.84105,-1.10279,-19.06619
72,2.400,-2.014,10.599,1.480,19.70877,6.95734,-17.99260
73,2.433,-1.898,10.337,1.714,18.39386,0.33867,-14.96501
