frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.220,8.849,1.757,-5.80916,-17.25191,-5.59542
1,0.033,0.344,10.726,2.281,-9.44513,-17.18938,-3.95329
2,0.067,0.027,10.755,2.243,5.47766,-23.65071,-1.35147
3,0.100,-0.499,8.896,2.211,11.54459,-28.88101,0.75689
4,0.133,-0.216,8.694,1.683,-2.69329,-12.09898,0.16474
5,0.167,-0.757,9.640,1.723,-11.78920,-5.49240,1.16567
6,0.200,-1.030,9.927,2.051,-3.55481,-1.84411,4.05298
7,0.233,-1.007,9.874,1.856,1.29360,9.65532,4.63660
8,0.267,-0.400,9.878,1.967,-1.48658,11.27356,2.15738
9,0.300,-0.062,10.063,2.063,0.34188,9.30662,2.36912
10,0.333,0.054,9.810,2.013,0.70096,5.27073,1.61608
11,0.367,-0.241,9.533,1.684,-0.33319,5.69445,-1.68387
12,0.400,-0.627,9.507,1.183,-5.96540,11.81847,-5.49663
13,0.433,-1.174,9.717,1.197,-8.36654,19.02842,-2.54187
14,0.467,0.017,10.452,1.470,-5.88974,15.57836,-3.47258
15,0.500,0.475,10.489,1.422,3.13287,7.47896,-3.53260
16,0.533,-0.154,9.707,1.741,8.88621,0.84792,-5.78022
17,0.567,-0.446,9.547,1.731,6.76391,1.48980,-5.28849
18,0.600,-0.339,9.325,2.251,4.97621,9.21444,1.73416
19,0.633,-0.049,9.144,2.174,10.87739,10.04426,9.82636
20,0.667,0.484,9.752,1.964,14.91122,15.23509,9.84533
21,0.700,-0.263,10.863,1.390,5.98378,12.57977,6.19691
22,0.733,-0.283,9.851,0.829,10.51322,11.20519,5.89717
23,0.767,0.365,9.843,1.268,-11.90450,7.76191,3.73421
24,0.800,0.641,9.868,0.892,-9.98604,8.57015,-9.62419
25,0.833,0.417,9.681,0.583,-7.61573,4.50595,-7.77985
26,0.867,-0.266,10.378,0.644,-1.57215,4.49334,-1.92311
27,0.900,-0.230,10.137,0.718,6.92710,4.72658,1.12813
28,0.933,0.188,9.936,0.739,9.23570,1.97654,-0.49256
29,0.967,0.613,10.217,0.520,9.84628,2.30140,-2.14141
30,1.000,0.685,9.589,0.867,11.96740,1.94066,-1.71987
31,1.033,0.560,9.512,0.496,6.12395,-0.05963,-1.68157
32,1.067,0.662,8.934,0.926,-3.89240,-2.10327,-2.42114
33,1.100,0.794,8.820,0.237,-12.50322,-8.53511,-1.25725
34,1.133,1.077,9.954,0.772,-16.77591,-5.62358,-5.59676
35,1.167,-0.824,11.617,1.660,-14.53729,3.52146,-10.74557
36,1.200,-0.721,11.432,3.536,-11.13843,16.92612,-13.14901
37,1.233,0.332,11.311,2.095,-23.12443,9.70752,-5.60647
38,1.267,1.034,10.870,3.190,-19.18755,1.15691,0.71920
39,1.300,0.702,10.907,3.548,-8.15056,-3.44952,-3.51270
40,1.333,-0.658,9.876,3.703,2.20550,-5.64122,-9.41923
41,1.367,-0.619,8.589,3.005,-1.94887,-2.58733,-8.09309
42,1.400,-0.962,8.957,2.410,-10.41502,2.22326,2.42510
43,1.433,-0.763,9.455,1.824,-10.79246,5.15163,7.87422
44,1.467,-0.605,9.613,1.776,-10.18497,2.89242,9.22570
45,1.500,-0.257,8.960,1.420,-6.28796,1.88255,6.22879
46,1.533,-0.437,8.873,1.289,-4.75600,-3.38085,3.41350
47,1.567,-0.748,9.696,0.875,-3.39624,-3.24863,3.15981
48,1.600,-0.001,9.484,0.819,4.78025,-8.41785,1.41014
49,1.633,-0.053,9.428,0.799,2.75084,-9.10268,-3.29048
50,1.667,-0.560,9.693,0.308,5.00559,-8.17719,-8.62063
51,1.700,-0.482,8.948,0.378,6.50771,-7.96711,-12.26856
52,1.733,-0.714,8.769,0.196,-0.48366,-4.68758,-10.87644
53,1.767,-0.573,9.342,0.358,-3.27995,-2.99432,-8.17009
54,1.800,-0.790,9.741,0.322,0.84903,-3.47389,-1.05794
55,1.833,-1.175,9.989,0.305,-1.32916,-1.70438,0.73428
56,1.867,-1.159,11.111,0.285,-12.67374,4.68259,5.27821
57,1.900,-0.211,12.331,0.984,-19.98168,4.22233,12.46454
58,1.933,0.638,12.672,2.177,-12.65465,-17.33015,17.54909
59,1.967,-1.829,10.430,2.769,-0.29086,-14.26378,2.35101
60,2.000,-1.807,9.479,3.655,-6.59956,10.38164,0.84477
61,2.033,0.415,9.134,3.109,12.99814,18.25412,8.23077
62,2.067,-0.249,9.108,3.237,4.70939,5.65837,17.07490
63,2.100,0.945,9.665,2.491,-6.25125,0.25122,4.83196
64,2.133,0.784,9.787,2.013,-6.26488,-1.02419,-11.45682
65,2.167,0.212,9.979,1.675,-1.89757,1.82709,-9.85692
66,2.200,0.107,9.598,1.608,9.04493,1.27042,-1.31246
67,2.233,-0.036,9.207,1.434,8.17097,3.60811,1.65193
68,2.267,0.173,9.155,1.273,5.53557,2.78451,-2.16147
69,2.300,0.406,9.191,0.950,5.60978,-0.93584,-2.39064
70,2.333,0.171,9.320,0.733,9.03208,-3.97856,0.77901
71,2.367,0.371,8.973,0.624,9.30207,-12.80052,8.20238
72,2.400,0.894,8.250,-0.092,7.47707,-25.15918,11.56019
73,2.433,0.499,9.419,0.814,-1.22306,-24.83089,9.86639
74,2.467,-0.558,10.199,0.327,-4.33493,-10.09540,-4.52264
75,2.500,0.277,9.836,-0.080,4.12349,-7.29494,-9.09403
76,2.533,1.471,9.895,-0.397,20.37396,-1.39049,-1.12038
77,2.567,-0.680,11.731,1.020,-18.72569,-6.13197,-12.87496
78,2.600,-2.008,13.823,5.641,-54.08103,38.25875,-46.71850
79,2.633,-0.664,11.535,3.999,-22.07066,28.95189,-28.91021
80,2.667,1.849,9.848,4.438,5.59497,-9.68150,-9.99216
81,2.700,0.974,10.344,3.284,-4.24099,-21.87281,-7.25909
82,2.733,-0.439,10.919,3.420,0.90012,-17.10788,-7.18324
83,2.767,-1.447,8.935,1.986,-3.87064,-13.42287,-6.05720
84,2.800,-2.035,8.416,1.524,-15.22605,1.82428,3.34899
85,2.833,-1.244,9.523,1.546,-6.64084,11.91279,8.92885
86,2.867,-0.364,9.460,1.692,12.70187,6.21467,9.57437
87,2.900,0.045,8.640,1.722,12.88410,2.30335,4.74935
88,2.933,-0.259,8.950,1.415,4.69630,1.44298,3.10710
89,2.967,-0.538,9.468,0.974,7.32842,-0.44278,-0.58595
90,3.000,-0.399,9.271,0.464,10.20280,-1.48518,-3.82811
91,3.033,0.053,8.765,0.342,7.97991,-1.11403,-8.66303
92,3.067,-0.389,8.339,0.096,9.07906,2.59806,-13.28995
93,3.100,-1.169,9.543,0.352,0.03020,8.73803,-7.45886
94,3.133,-0.510,9.331,0.283,-3.82257,9.42241,-2.53423
