frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,0.244,9.661,2.064,-0.93893,0.57252,-0.54198
1,0.033,0.175,9.701,2.109,-0.36831,1.15090,-0.22694
2,0.067,0.213,9.670,2.102,-0.41191,1.83121,-0.60543
3,0.100,0.251,9.727,2.080,-1.36567,2.18185,-0.46688
4,0.133,0.368,9.786,2.231,-1.28104,1.69528,-0.60710
5,0.167,0.304,9.890,2.075,-0.80216,0.76145,-0.88645
6,0.200,0.260,9.849,2.048,-0.56517,0.40511,-0.62595
7,0.233,0.271,9.772,2.129,-0.85716,0.14451,-0.78301
8,0.267,0.271,9.663,2.048,-1.08140,-0.31333,-0.67800
9,0.300,0.219,9.726,2.151,-1.68671,0.39643,-0.88436
10,0.333,0.327,9.817,2.128,-0.83324,-0.23471,-0.70304
11,0.367,0.263,9.784,2.121,-0.18292,-0.51448,-0.85688
12,0.400,0.294,9.697,2.219,-0.43669,-0.66577,-1.84198
13,0.433,0.479,9.714,2.142,0.63771,-1.22695,-1.81035
14,0.467,0.378,9.804,2.156,2.00302,-0.32733,-1.71631
15,0.500,0.221,9.952,2.068,0.80871,-0.69738,0.78059
16,0.533,0.388,9.796,1.768,-2.63619,-0.55345,2.95086
17,0.567,0.630,9.599,1.747,-8.12621,-2.37259,2.27837
18,0.600,0.616,9.881,1.871,-9.60375,-4.52139,1.82821
19,0.633,0.434,9.984,1.847,-6.90496,-5.61026,2.61552
20,0.667,0.076,9.918,1.784,-9.17355,-4.27037,1.69426
21,0.700,0.244,9.897,1.802,-5.37973,-1.37781,1.93324
22,0.733,0.225,9.961,1.834,1.20705,2.92014,3.73340
23,0.767,0.334,9.984,1.948,3.37809,2.62266,3.18545
24,0.800,0.440,9.696,1.953,4.39327,-1.09799,2.69656
25,0.833,0.207,9.551,1.952,6.77368,-4.73640,1.03983
26,0.867,0.018,9.396,1.623,6.93677,-6.06263,-2.48292
27,0.900,-0.238,9.442,1.202,4.02700,-2.69432,-6.19832
28,0.933,-0.263,9.706,1.040,0.53094,-0.49233,-6.36392
29,0.967,-0.679,10.745,1.166,-0.98140,3.03950,-1.81480
30,1.000,0.088,10.493,1.239,4.97092,-2.52225,0.69669
31,1.033,0.134,9.929,1.283,8.17106,-4.10634,2.38655
32,1.067,-0.048,9.774,1.253,7.05231,-7.12842,2.99181
33,1.100,-0.020,9.579,1.444,6.27359,-8.26181,2.35754
34,1.133,-0.261,9.706,1.175,0.90444,-6.88172,0.75494
35,1.167,-0.525,10.049,1.104,1.74308,-4.56329,-0.68561
36,1.200,-0.471,10.004,0.833,0.46528,-0.31052,0.47456
37,1.233,-0.904,10.186,0.963,2.15668,5.97466,-1.64797
38,1.267,-0.819,9.888,0.836,-0.93783,8.89715,-2.65492
39,1.300,-0.369,9.390,0.527,-5.37139,8.68079,-2.52814
40,1.333,0.002,9.873,0.868,-4.49222,18.23941,-6.90224
41,1.367,0.780,12.226,2.820,6.77831,11.67699,-9.18782
42,1.400,1.448,11.741,3.804,31.33535,-3.26733,-17.95189
43,1.433,-0.374,9.321,4.651,29.90410,7.12591,-24.74087
44,1.467,-0.461,7.643,3.905,26.11065,16.28431,-10.59961
45,1.500,-0.563,7.805,3.904,27.77541,15.22595,13.13036
46,1.533,1.303,11.530,3.601,8.54779,15.02028,24.85897
47,1.567,2.423,12.171,1.565,12.93360,8.07288,-4.81547
48,1.600,1.922,8.302,3.145,20.91377,16.01580,-4.26983
49,1.633,1.173,7.296,1.627,12.13783,18.70210,10.01612
50,1.667,1.777,8.236,1.115,6.70543,8.71618,19.36353
51,1.700,3.175,6.553,0.064,-27.42287,-13.18237,20.45080
