frame_number,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.000,-0.002,0.299,10.542,-1.11450,1.95420,-1.19847
1,0.033,-0.091,0.122,10.561,-1.23925,-0.15062,-1.05733
2,0.067,-0.134,0.107,10.592,-1.36198,-0.18194,-0.99296
3,0.100,-0.027,0.168,10.615,-1.26899,0.00217,-1.07743
4,0.133,0.011,0.099,10.487,-1.42466,-0.15687,-0.98320
5,0.167,0.040,0.057,10.601,-1.13915,-1.92648,-1.07552
6,0.200,0.004,0.112,10.689,-1.15747,-0.00326,-1.14700
7,0.233,0.048,0.087,10.563,-1.22762,-1.92612,-0.97193
8,0.267,-0.105,0.105,10.442,-1.15153,1.63872,-1.06590
9,0.300,0.010,0.145,10.651,-1.26279,-0.96317,-1.06967
10,0.333,0.063,0.141,10.612,-1.26062,0.02251,-1.09751
11,0.367,-0.117,0.151,10.652,-1.16037,-0.10708,-0.93139
12,0.400,-0.065,0.106,10.587,-1.26947,-0.05204,-1.10219
13,0.433,-0.121,0.112,10.579,-1.20611,-0.10843,-0.99080
14,0.467,-0.012,0.076,10.645,-1.29574,0.08555,-1.00632
15,0.500,-0.022,0.144,10.587,-1.10551,-0.09866,-1.12546
16,0.533,0.047,0.107,10.533,-1.15075,0.07176,-1.09713
17,0.567,0.016,0.125,10.582,-1.42935,0.00669,-1.07822
18,0.600,-0.008,0.113,10.683,-1.32136,-0.23994,-0.99401
19,0.633,0.011,0.143,10.671,-1.30377,-0.22280,-1.16027
20,0.667,0.006,0.138,10.569,-1.22512,-0.04041,-1.06376
21,0.700,-0.024,0.125,10.577,-1.25035,-1.01885,-0.99976
22,0.733,-0.109,0.155,10.648,-1.20699,-0.12451,-0.94568
23,0.767,-0.011,0.081,10.600,-1.25432,-1.77608,-0.93897
24,0.800,-0.003,0.079,10.577,-1.29335,0.00874,-1.11993
25,0.833,0.014,0.287,10.502,-1.16721,0.10324,-1.12869
26,0.867,0.061,0.104,10.691,-1.30681,-0.06582,-0.98291
27,0.900,0.042,0.105,10.629,-1.21265,-0.83592,-1.03269
28,0.933,0.007,0.133,10.471,-1.26245,0.03998,-0.96982
29,0.967,0.013,0.155,10.608,-1.33863,0.40063,-1.03118
30,1.000,-0.018,0.133,10.428,-1.23007,-0.01527,-0.98576
31,1.033,0.053,0.143,10.535,-1.06359,-0.01744,-1.05123
32,1.067,0.065,0.084,10.607,-1.15449,0.48220,-1.18276
33,1.100,0.001,0.114,10.574,-1.23772,-0.07854,-1.03926
34,1.133,0.123,0.097,10.659,-1.27735,0.12578,-1.12650
35,1.167,-0.007,0.143,10.646,-1.18033,1.43573,-1.13089
36,1.200,-0.001,0.122,10.567,-1.30312,-0.01850,-1.04144
37,1.233,-0.100,0.128,10.622,-1.27993,-0.09049,-1.16470
38,1.267,0.025,0.125,10.536,-1.23009,0.03490,-1.19702
39,1.300,-0.012,0.106,10.628,-1.09989,-0.07910,-0.96877
40,1.333,0.005,0.170,10.582,-1.23492,-0.07410,-1.12656
41,1.367,0.022,0.054,10.599,-1.12545,-0.03200,-1.14250
42,1.400,-0.053,0.160,10.688,-1.23121,0.89378,-1.12542
43,1.433,0.063,0.176,10.578,-1.22756,-0.14218,-1.04508
44,1.467,-0.037,0.134,10.473,-1.29225,-0.01242,-1.13559
45,1.500,-0.003,0.106,10.505,-1.12976,-1.11389,-1.00765
46,1.533,0.115,0.167,10.645,-1.33366,-0.05619,-0.95057
47,1.567,0.012,0.116,10.535,-1.38566,-1.51134,-0.97889
48,1.600,0.010,0.134,10.569,-1.17889,0.09817,-1.03814
49,1.633,-0.100,0.149,10.634,-1.12068,-0.07779,-0.90803
50,1.667,0.033,0.121,10.616,-1.33445,0.47588,-1.02725
51,1.700,0.070,0.135,10.592,-1.27811,-0.16252,-1.16686
52,1.733,-0.002,0.073,10.616,-1.21373,0.04362,-0.93892
53,1.767,-0.028,0.095,10.548,-1.26176,-0.46475,-0.99636
54,1.800,0.053,0.122,10.669,-1.24967,-0.04582,-0.95093
55,1.833,-0.017,0.131,10.579,-1.17955,-0.15921,-1.03051
56,1.867,0.039,0.118,10.543,-1.19297,-0.00289,-1.06364
57,1.900,0.027,0.086,10.618,-1.25742,0.03051,-0.98472
58,1.933,-0.123,0.078,10.593,-1.12830,-0.18431,-0.89238
59,1.967,0.013,0.125,10.497,-1.21311,-0.14655,-1.11848
60,2.000,0.035,0.161,10.603,-1.47001,0.74280,-0.92581
61,2.033,0.053,0.015,10.525,-1.17268,0.00651,-1.07931
62,2.067,0.046,0.152,10.631,-1.29694,-0.16136,-1.07011
63,2.100,-0.073,0.138,10.468,-1.16886,-1.07636,-0.97704
64,2.133,0.019,0.117,10.508,-1.15912,-0.09048,-1.20012
65,2.167,-0.025,0.112,10.528,-1.49316,1.45557,-0.96521
66,2.200,0.021,0.077,10.549,-1.33816,-0.09045,-1.08073
67,2.233,0.069,0.132,10.629,-1.43961,-0.18585,-0.96650
68,2.267,0.028,0.099,10.586,-1.23265,1.44658,-1.10758
69,2.300,0.020,0.234,10.530,-1.26347,-0.01345,-0.99433
70,2.333,-0.016,0.096,10.713,-1.19579,-0.35114,-0.99166
71,2.367,-0.007,0.098,10.629,-1.22396,-0.16131,-1.02619
72,2.400,-0.057,0.233,10.586,-1.15919,0.65907,-1.05669
73,2.433,0.057,0.154,10.589,-1.17676,-0.03712,-0.96690
74,2.467,0.051,0.107,10.587,-1.20370,-0.10928,-1.06496
75,2.500,0.018,0.063,10.568,-1.14501,-0.00217,-0.99997
76,2.533,-0.016,0.094,10.595,-1.22901,0.29491,-1.08542
77,2.567,0.131,0.123,10.582,-1.26675,0.02194,-0.96148
78,2.600,0.016,0.131,10.634,-1.27149,1.09789,-1.06870
79,2.633,0.026,0.110,10.628,-1.30352,-0.28101,-1.04506
80,2.667,0.011,0.116,10.654,-1.19778,-0.01007,-1.09819
81,2.700,0.004,0.146,10.578,-1.20185,-0.00236,-1.11236
82,2.733,0.021,0.092,10.471,-1.17333,0.05752,-0.94110
83,2.767,-0.037,0.090,10.599,-1.24617,-0.04804,-1.09370
84,2.800,0.020,0.105,10.597,-1.18536,-0.00427,-1.02623
85,2.833,0.032,0.127,10.604,-1.25553,0.15494,-1.05348
86,2.867,0.013,0.147,10.578,-1.14433,0.06107,-1.12866
87,2.900,0.010,0.107,10.623,-1.19419,-0.00338,-1.08833
88,2.933,0.039,0.129,10.596,-1.42818,0.02670,-1.22028
89,2.967,0.066,0.092,10.542,-1.21085,-0.06214,-0.96116
90,3.000,0.013,0.137,10.617,-1.29226,-0.12647,-1.11888
91,3.033,0.011,0.023,10.597,-1.22610,-0.26143,-0.97891
92,3.067,-0.013,0.132,10.537,-1.36092,0.05230,-0.99529
93,3.100,0.035,0.048,10.605,-1.34896,0.89152,-1.10798
94,3.133,-0.015,0.093,10.713,-1.12392,-0.09270,-1.04761
95,3.167,0.016,0.134,10.653,-1.35699,-0.06104,-1.05815
96,3.200,0.035,0.098,10.597,-1.16031,0.74323,-0.98042
97,3.233,0.038,0.070,10.582,-1.20828,0.15666,-0.91455
98,3.267,0.115,0.138,10.659,-1.19484,0.05028,-1.07484
99,3.300,0.106,0.101,10.608,-1.28607,1.08816,-1.03420
100,3.333,-0.042,0.101,10.441,-1.26791,0.01021,-1.07886
101,3.367,0.086,0.250,10.600,-1.32460,-0.04061,-1.09238
102,3.400,-0.052,0.092,10.589,-1.33153,-0.09152,-1.06543
103,3.433,0.018,0.101,10.615,-1.30381,0.14282,-0.95844
104,3.467,-0.041,0.133,10.616,-1.22172,-0.07018,-1.11954
105,3.500,0.051,0.139,10.645,-1.31405,-0.20506,-1.00975
106,3.533,-0.024,0.145,10.615,-1.00419,-0.19137,-1.08806
107,3.567,0.035,0.106,10.600,-1.23629,-0.09282,-1.06289
108,3.600,0.049,0.122,10.496,-1.22029,-1.01256,-1.05243
109,3.633,0.079,0.067,10.644,-1.39191,-0.21527,-1.04038
110,3.667,0.136,0.152,10.582,-1.47542,0.01630,-1.05632
111,3.700,-0.026,0.138,10.604,-1.22468,1.11497,-1.08502
112,3.733,0.057,0.116,10.710,-1.49081,-0.05015,-0.95126
113,3.767,-0.005,0.119,10.565,-1.23735,1.94075,-1.15409
114,3.800,-0.016,0.144,10.566,-1.17440,0.08845,-1.11996
115,3.833,-0.009,0.125,10.625,-1.23369,-0.25861,-1.11924
116,3.867,0.049,0.088,10.556,-1.22683,0.26199,-1.13155
117,3.900,-0.070,0.053,10.647,-1.24429,-0.00872,-1.10358
118,3.933,-0.051,0.161,10.558,-1.28138,-1.75894,-0.95554
119,3.967,-0.070,0.120,10.487,-1.31874,-0.09408,-1.07593
120,4.000,0.035,0.072,10.573,-1.33694,-0.00536,-1.02287
121,4.033,0.139,0.064,10.642,-1.17812,-0.03635,-1.16321
122,4.067,0.134,0.086,10.598,-1.16829,-0.04363,-1.18427
123,4.100,-0.007,0.139,10.583,-1.23996,0.78671,-1.03377
124,4.133,-0.047,0.164,10.628,-1.02032,0.10728,-1.06902
125,4.167,-0.018,0.174,10.660,-1.38128,-0.05379,-1.05272
126,4.200,0.071,0.026,10.634,-1.33477,-0.08075,-1.13407
127,4.233,-0.015,0.122,10.660,-1.35149,0.03414,-1.04473
128,4.267,0.049,0.114,10.537,-1.17085,0.10142,-1.04508
129,4.300,-0.021,0.248,10.506,-1.42791,0.00636,-1.17139
130,4.333,0.013,0.093,10.582,-1.31916,-1.75475,-0.99563
131,4.367,0.069,0.058,10.570,-1.17517,1.51838,-1.00942
132,4.400,-0.009,0.104,10.614,-1.31076,0.07301,-1.03817
133,4.433,0.127,0.085,10.595,-1.29195,-0.19378,-0.94942
134,4.467,-0.015,0.156,10.617,-1.34608,0.31674,-1.03667
135,4.500,0.047,0.110,10.632,-1.27261,0.17995,-1.19849
136,4.533,0.020,0.286,10.445,-1.18968,-0.11122,-1.02068
137,4.567,0.048,0.105,10.634,-1.10510,-1.43850,-1.08943
138,4.600,0.069,0.131,10.643,-1.28787,-0.10354,-1.07634
139,4.633,0.005,0.147,10.581,-1.28833,-0.01126,-1.24397
140,4.667,0.045,0.144,10.597,-1.25772,-1.45710,-1.09378
141,4.700,-0.029,0.170,10.530,-1.28568,1.06383,-1.09273
142,4.733,-0.018,0.125,10.610,-1.31554,-1.75519,-1.15817
143,4.767,-0.055,0.113,10.646,-1.29220,-0.04358,-0.98362
144,4.800,-0.014,0.153,10.597,-1.27904,-0.00546,-1.04582
145,4.833,0.133,0.122,10.616,-1.09629,-0.06281,-1.04580
146,4.867,0.061,0.155,10.661,-1.23376,-0.41060,-1.09999
147,4.900,-0.011,0.157,10.633,-1.26396,-0.03925,-1.03165
148,4.933,0.113,0.130,10.610,-1.29046,-0.01305,-0.98657
149,4.967,-0.034,0.070,10.542,-1.13017,-0.36521,-0.98625
150,5.000,0.076,0.153,10.630,-1.25404,-0.12104,-1.11661
151,5.033,-0.040,0.162,10.714,-1.28500,-1.77768,-1.12039
152,5.067,0.012,0.134,10.595,-1.29008,0.39244,-0.86846
153,5.100,-0.085,0.120,10.550,-1.10581,-0.03163,-1.06653
154,5.133,-0.032,0.154,10.575,-1.24427,-0.37067,-1.14286
155,5.167,0.066,0.111,10.620,-1.28173,0.47637,-1.16501
156,5.200,0.010,0.108,10.537,-1.15048,-0.01959,-0.98473
157,5.233,0.036,0.131,10.467,-1.22466,-0.08035,-1.18108
158,5.267,0.013,0.063,10.613,-1.28463,-0.08360,-1.01895
159,5.300,-0.002,0.230,10.660,-1.23116,0.00528,-1.13838
160,5.333,0.016,0.094,10.650,-1.43755,-0.07495,-1.28800
161,5.367,0.030,0.130,10.658,-1.17712,0.03367,-1.12872
162,5.400,-0.148,0.117,10.646,-1.11336,0.78860,-1.11565
163,5.433,-0.053,0.124,10.614,-1.15807,0.09936,-1.01882
164,5.467,0.011,0.090,10.660,-1.31116,-1.45966,-0.99705
165,5.500,-0.019,0.168,10.590,-1.34894,-0.02620,-1.17776
166,5.533,-0.016,0.100,10.554,-1.20210,-0.06039,-1.03454
167,5.567,-0.046,0.157,10.639,-1.10345,-1.57788,-1.10249
168,5.600,-0.030,0.106,10.580,-1.21710,-0.93525,-0.97274
169,5.633,0.067,0.132,10.649,-1.25246,0.06697,-1.00174
170,5.667,0.062,0.102,10.693,-1.07446,-0.05773,-1.18762
171,5.700,-0.033,0.107,10.556,-1.17088,1.90546,-1.04052
172,5.733,0.042,0.109,10.652,-1.17503,0.04210,-1.02758
173,5.767,0.096,0.050,10.500,-1.20470,-0.10560,-1.06460
174,5.800,-0.136,0.090,10.603,-1.31216,0.08861,-1.01826
175,5.833,-0.031,0.231,10.631,-1.39433,0.49662,-1.16208
176,5.867,0.102,0.175,10.553,-1.31815,1.03447,-0.96752
177,5.900,-0.059,0.094,10.681,-1.34053,-0.13574,-1.20931
178,5.933,0.005,0.080,10.475,-1.18369,-1.76197,-1.21179
179,5.967,-0.007,0.089,10.639,-1.36297,1.24331,-1.01025
180,6.000,-0.031,0.236,10.643,-1.24553,0.68104,-0.93563
181,6.033,0.058,0.122,10.585,-1.21078,-0.01900,-1.22974
182,6.067,0.023,0.240,10.620,-1.38104,0.21182,-1.13303
183,6.100,0.065,0.046,10.540,-1.22747,0.09017,-0.99809
184,6.133,0.007,0.089,10.632,-1.17669,0.78679,-1.18356
185,6.167,0.118,0.123,10.618,-1.10503,0.38901,-1.11663
186,6.200,0.088,0.145,10.568,-1.22399,-0.17257,-1.09084
187,6.233,0.030,0.109,10.561,-0.99877,0.74215,-1.02222
188,6.267,0.007,0.117,10.596,-1.31566,1.54114,-1.04107
189,6.300,0.012,0.128,10.454,-1.36133,-0.16908,-1.18887
190,6.333,0.063,0.118,10.638,-1.24680,-1.85497,-1.02546
191,6.367,-0.054,0.209,10.580,-1.35659,-0.65093,-1.14220
192,6.400,0.037,0.089,10.555,-1.12542,0.04072,-0.95277
193,6.433,0.033,0.190,10.613,-1.40525,-1.32728,-0.99153
194,6.467,0.055,0.091,10.522,-1.13907,0.22430,-1.11583
195,6.500,0.050,0.095,10.669,-1.19084,-0.85640,-1.10390
196,6.533,0.040,0.135,10.500,-1.37865,-0.10297,-1.01527
197,6.567,-0.077,0.126,10.623,-1.50900,-0.09654,-1.04933
198,6.600,0.042,0.099,10.653,-1.34664,0.10767,-0.94075
199,6.633,-0.007,0.126,10.582,-1.24295,0.03144,-0.97316
200,6.667,0.002,0.079,10.580,-1.21456,0.02341,-1.09189
201,6.700,0.032,0.140,10.474,-1.26280,-0.20824,-1.04736
202,6.733,-0.092,0.154,10.643,-1.21168,-0.78365,-1.12028
203,6.767,0.040,0.125,10.520,-1.13413,-0.17703,-1.05415
204,6.800,0.053,0.126,10.611,-1.21595,1.05409,-1.06533
205,6.833,0.127,0.029,10.561,-1.22504,-0.04657,-1.00691
206,6.867,0.017,0.135,10.600,-1.24325,0.05233,-1.10465
207,6.900,0.072,0.090,10.540,-1.09811,-0.79444,-1.15923
208,6.933,0.079,0.100,10.585,-1.40713,0.04109,-1.11379
209,6.967,0.082,0.097,10.554,-1.20358,0.05131,-0.94656
210,7.000,-0.067,0.119,10.566,-1.24309,-0.08828,-1.01204
211,7.033,-0.027,0.109,10.628,-1.43229,-0.02554,-1.17233
212,7.067,0.071,0.146,10.688,-1.39695,0.46621,-1.01855
213,7.100,-0.003,0.126,10.536,-1.24208,1.04860,-0.92476
