번호,발,시작프레임,종료프레임,시작시간(s),종료시간(s),Stride Time(s),Stride Length(m),Velocity(m/s)
1,right,72,126,2.4,4.2,1.8000000000000003,0.7199635084523258,0.39997972691795874
2,right,127,181,4.233333333333333,6.033333333333333,1.7999999999999998,0.7348037838015582,0.40822432433419903
3,right,182,231,6.066666666666666,7.7,1.6333333333333337,0.8672468352450313,0.530967450150019
4,right,232,288,7.733333333333333,9.6,1.8666666666666663,0.7934161450061381,0.4250443633961455
5,right,289,337,9.633333333333333,11.233333333333333,1.5999999999999996,0.8700908239804669,0.5438067649877919
6,right,338,387,11.266666666666667,12.9,1.6333333333333329,0.9804982411543597,0.6003050456047102
7,right,388,438,12.933333333333334,14.6,1.666666666666666,0.9944566299356277,0.5966739779613768
8,right,439,489,14.633333333333333,16.3,1.6666666666666679,0.859674515438876,0.5158047092633252
9,right,490,541,16.333333333333332,18.033333333333335,1.7000000000000028,1.2173263137477242,0.7160743022045424
10,right,542,572,18.066666666666666,19.066666666666666,1.0,0.7706981320380039,0.7706981320380039
11,right,573,622,19.1,20.733333333333334,1.6333333333333329,0.8960773272875484,0.5486187718087032
12,right,623,671,20.766666666666666,22.366666666666667,1.6000000000000014,0.9600728608196711,0.6000455380122939
13,right,672,720,22.4,24.0,1.6000000000000014,0.8449275105762847,0.5280796941101774
14,right,721,765,24.033333333333335,25.5,1.466666666666665,0.9240174021121519,0.6300118650764679
15,left,44,98,1.4666666666666666,3.2666666666666666,1.8,0.5051771670649045,0.2806539817027247
16,left,99,157,3.3,5.233333333333333,1.9333333333333336,0.5012982485938634,0.25929219754855
17,left,158,201,5.266666666666667,6.7,1.4333333333333336,0.6723213618607695,0.4690614152516996
18,left,202,260,6.733333333333333,8.666666666666666,1.9333333333333327,0.6990108897299538,0.3615573567568728
19,left,261,313,8.7,10.433333333333334,1.7333333333333343,0.5748581507250495,0.33164893311060534
20,left,314,359,10.466666666666667,11.966666666666667,1.5,0.6592346647115322,0.43948977647435483
21,left,360,411,12.0,13.7,1.6999999999999993,0.60739162221492,0.3572891895381884
22,left,412,462,13.733333333333333,15.4,1.6666666666666679,0.8033315985390477,0.48199895912342827
23,left,463,514,15.433333333333334,17.133333333333333,1.6999999999999993,0.75683065602557,0.4451945035444531
24,left,515,554,17.166666666666668,18.466666666666665,1.2999999999999972,0.6316290023010143,0.48586846330847355
25,left,555,595,18.5,19.833333333333332,1.3333333333333321,0.6206263464068263,0.4654697598051202
26,left,596,644,19.866666666666667,21.466666666666665,1.5999999999999979,0.7976790276383137,0.4985493922739467
27,left,645,695,21.5,23.166666666666668,1.6666666666666679,0.770634951649013,0.46238097098940745
28,left,696,739,23.2,24.633333333333333,1.4333333333333336,0.43876732044091005,0.30611673519133253
29,left,740,789,24.666666666666668,26.3,1.6333333333333329,0.6049908455761108,0.3704025585159863
