file_name,subject,task,rep,n_cycles
S01T01R01_Cycles.pkl,S01,T01,R01,12
S01T01R02_Cycles.pkl,S01,T01,R02,12
S01T01R03_Cycles.pkl,S01,T01,R03,13
S01T01R04_Cycles.pkl,S01,T01,R04,14
S01T01R05_Cycles.pkl,S01,T01,R05,13
S01T01R06_Cycles.pkl,S01,T01,R06,12
S01T01R07_Cycles.pkl,S01,T01,R07,12
S01T01R08_Cycles.pkl,S01,T01,R08,12
S01T01R09_Cycles.pkl,S01,T01,R09,12
S01T01R10_Cycles.pkl,S01,T01,R10,14
S01T01R100_Cycles.pkl,S01,T01,R100,23
S01T01R101_Cycles.pkl,S01,T01,R101,24
S01T01R102_Cycles.pkl,S01,T01,R102,23
S01T01R103_Cycles.pkl,S01,T01,R103,24
S01T01R104_Cycles.pkl,S01,T01,R104,23
S01T01R105_Cycles.pkl,S01,T01,R105,23
S01T01R106_Cycles.pkl,S01,T01,R106,24
S01T01R107_Cycles.pkl,S01,T01,R107,26
S01T01R11_Cycles.pkl,S01,T01,R11,12
S01T01R12_Cycles.pkl,S01,T01,R12,14
S01T01R13_Cycles.pkl,S01,T01,R13,15
S01T01R14_Cycles.pkl,S01,T01,R14,15
S01T01R15_Cycles.pkl,S01,T01,R15,14
S01T01R16_Cycles.pkl,S01,T01,R16,13
S01T01R17_Cycles.pkl,S01,T01,R17,14
S01T01R18_Cycles.pkl,S01,T01,R18,13
S01T01R19_Cycles.pkl,S01,T01,R19,14
S01T01R20_Cycles.pkl,S01,T01,R20,12
S01T01R21_Cycles.pkl,S01,T01,R21,12
S01T01R22_Cycles.pkl,S01,T01,R22,15
S01T01R23_Cycles.pkl,S01,T01,R23,17
S01T01R24_Cycles.pkl,S01,T01,R24,17
S01T01R25_Cycles.pkl,S01,T01,R25,17
S01T01R26_Cycles.pkl,S01,T01,R26,18
S01T01R27_Cycles.pkl,S01,T01,R27,18
S01T01R28_Cycles.pkl,S01,T01,R28,19
S01T01R29_Cycles.pkl,S01,T01,R29,17
S01T01R30_Cycles.pkl,S01,T01,R30,19
S01T01R31_Cycles.pkl,S01,T01,R31,19
S01T01R32_Cycles.pkl,S01,T01,R32,18
S01T01R33_Cycles.pkl,S01,T01,R33,19
